"","lhs","rhs","cors","p.values","ci.low","ci.high"
"1","BlackPOS_1","BlackPOS_2",0.542468450817474,0,0.428455802019675,0.656481099615273
"2","BlackPOS_1","BlackNEG_1",0.1638720314164,0.0157188113361999,0.0308977949114073,0.296846267921392
"3","BlackPOS_1","BlackNEG_2",0.0460223226087399,0.559429822074222,-0.10851571537285,0.200560360590329
"4","BlackPOS_1","ValDiv_1",0.217319679015471,0.001042102460449,0.0874169888057516,0.347222369225191
"5","BlackPOS_1","ValDiv_2",0.223324118331001,0.00262720209061995,0.077823891870536,0.368824344791467
"6","BlackPOS_2","BlackNEG_1",0.0794158977519039,0.341659300360927,-0.0842749637623736,0.243106759266181
"7","BlackPOS_2","BlackNEG_2",-0.04643554160578,0.571527218856729,-0.207289891415103,0.114418808203543
"8","BlackPOS_2","ValDiv_1",0.217330832132906,0.00330291011734163,0.0723497761041273,0.362311888161685
"9","BlackPOS_2","ValDiv_2",0.32801223362331,5.08806216403812e-06,0.187061840089459,0.46896262715716
"10","BlackNEG_1","BlackNEG_2",0.551211882482649,0,0.435356859326762,0.667066905638536
"11","BlackNEG_1","ValDiv_1",-0.0194830526575809,0.779344052093716,-0.155777242825681,0.116811137510519
"12","BlackNEG_1","ValDiv_2",-0.168601155036412,0.0372936963837998,-0.327279068317736,-0.0099232417550878
"13","BlackNEG_2","ValDiv_1",-0.0817509312755797,0.288506566497223,-0.23271037397157,0.0692085114204102
"14","BlackNEG_2","ValDiv_2",-0.282381171987844,0.000185542813270212,-0.430446323939897,-0.134316020035792
"15","ValDiv_1","ValDiv_2",0.460013899085823,1.66089364483923e-13,0.337739653118861,0.582288145052785
